Province,District,Polling Division,Name,Votes,Percent
Central Province,MAHANUWARA,UDUNUWARA,Sundaram Mahendran,20,0.03%
Central Province,MAHANUWARA,UDUNUWARA,Jayantha Kulathunga,13,0.02%
Central Province,MAHANUWARA,UDUNUWARA,Valid Votes,"64,754",98.84%
Central Province,MAHANUWARA,UDUNUWARA,Rejected Votes,763,1.16%
Central Province,MAHANUWARA,UDUNUWARA,Total Polled,"65,517",79.61%
Central Province,MAHANUWARA,UDUNUWARA,Regis.Electors,"82,298",
Central Province,MAHANUWARA,GAMPOLA,Aithurus Mohamed Illias,68,0.09%
Central Province,MAHANUWARA,GAMPOLA,Ibrahim Miflar,161,0.20%
Central Province,MAHANUWARA,GAMPOLA,Prasanna Priyankara,14,0.02%
Central Province,MAHANUWARA,GAMPOLA,Wimal Geeganage,11,0.01%
Central Province,MAHANUWARA,GAMPOLA,Sirithunga Jayasuriya,61,0.08%
Central Province,MAHANUWARA,GAMPOLA,M. B. Theminimulla,37,0.05%
Central Province,MAHANUWARA,GAMPOLA,Pani Wijesiriwardane,43,0.05%
Central Province,MAHANUWARA,GAMPOLA,Duminda Nagamuwa,65,0.08%
Central Province,MAHANUWARA,GAMPOLA,Panagoda Don Prince Soloman Anura Liyanage,132,0.17%
Central Province,MAHANUWARA,GAMPOLA,Maithripala Sirisena,"45,328",56.81%
Central Province,MAHANUWARA,GAMPOLA,Ruwanthilaka Peduru Arachchi,131,0.16%
Central Province,MAHANUWARA,GAMPOLA,Anuruddha Polgampala,39,0.05%
Central Province,MAHANUWARA,GAMPOLA,Baththaramulle Seelarathana Thero,22,0.03%
Central Province,MAHANUWARA,GAMPOLA,Sarath Manamendra,50,0.06%
Central Province,MAHANUWARA,GAMPOLA,Arachchige Rathnayaka Sirisena,151,0.19%
Central Province,MAHANUWARA,GAMPOLA,Mahinda Rajapaksa,"33,293",41.73%
Central Province,MAHANUWARA,GAMPOLA,Namal Rajapaksa,130,0.16%
Central Province,MAHANUWARA,GAMPOLA,Sundaram Mahendran,29,0.04%
Central Province,MAHANUWARA,GAMPOLA,Jayantha Kulathunga,20,0.03%
Central Province,MAHANUWARA,GAMPOLA,Valid Votes,"79,785",98.74%
Central Province,MAHANUWARA,GAMPOLA,Rejected Votes,"1,020",1.26%
Central Province,MAHANUWARA,GAMPOLA,Total Polled,"80,805",79.05%
Central Province,MAHANUWARA,GAMPOLA,Regis.Electors,"102,219",
Central Province,MAHANUWARA,NAWALAPITIYA,Aithurus Mohamed Illias,95,0.13%
Central Province,MAHANUWARA,NAWALAPITIYA,Ibrahim Miflar,128,0.17%
Central Province,MAHANUWARA,NAWALAPITIYA,Prasanna Priyankara,22,0.03%
Central Province,MAHANUWARA,NAWALAPITIYA,Wimal Geeganage,10,0.01%
Central Province,MAHANUWARA,NAWALAPITIYA,Sirithunga Jayasuriya,105,0.14%
Central Province,MAHANUWARA,NAWALAPITIYA,M. B. Theminimulla,25,0.03%
Central Province,MAHANUWARA,NAWALAPITIYA,Pani Wijesiriwardane,42,0.06%
Central Province,MAHANUWARA,NAWALAPITIYA,Duminda Nagamuwa,70,0.09%
Central Province,MAHANUWARA,NAWALAPITIYA,Panagoda Don Prince Soloman Anura Liyanage,127,0.17%
Central Province,MAHANUWARA,NAWALAPITIYA,Maithripala Sirisena,"40,233",54.25%
Central Province,MAHANUWARA,NAWALAPITIYA,Ruwanthilaka Peduru Arachchi,144,0.19%
Central Province,MAHANUWARA,NAWALAPITIYA,Anuruddha Polgampala,42,0.06%
Central Province,MAHANUWARA,NAWALAPITIYA,Baththaramulle Seelarathana Thero,44,0.06%
Central Province,MAHANUWARA,NAWALAPITIYA,Sarath Manamendra,74,0.10%
Central Province,MAHANUWARA,NAWALAPITIYA,Arachchige Rathnayaka Sirisena,173,0.23%
Central Province,MAHANUWARA,NAWALAPITIYA,Mahinda Rajapaksa,"32,619",43.98%
Central Province,MAHANUWARA,NAWALAPITIYA,Namal Rajapaksa,146,0.20%
Central Province,MAHANUWARA,NAWALAPITIYA,Sundaram Mahendran,37,0.05%
Central Province,MAHANUWARA,NAWALAPITIYA,Jayantha Kulathunga,26,0.04%
Central Province,MAHANUWARA,NAWALAPITIYA,Valid Votes,"74,162",98.16%
Central Province,MAHANUWARA,NAWALAPITIYA,Rejected Votes,"1,393",1.84%
Central Province,MAHANUWARA,NAWALAPITIYA,Total Polled,"75,555",79.06%
Central Province,MAHANUWARA,NAWALAPITIYA,Regis.Electors,"95,567",
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Aithurus Mohamed Illias,10,0.03%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Ibrahim Miflar,4,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Prasanna Priyankara,2,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Wimal Geeganage,3,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Sirithunga Jayasuriya,9,0.02%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,M. B. Theminimulla,4,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Pani Wijesiriwardane,5,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Duminda Nagamuwa,32,0.09%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Panagoda Don Prince Soloman Anura Liyanage,7,0.02%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Maithripala Sirisena,"19,100",51.47%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Ruwanthilaka Peduru Arachchi,3,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Anuruddha Polgampala,3,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Baththaramulle Seelarathana Thero,15,0.04%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Sarath Manamendra,5,0.01%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Arachchige Rathnayaka Sirisena,11,0.03%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Mahinda Rajapaksa,"17,880",48.18%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Namal Rajapaksa,13,0.04%
Central Province,MAHANUWARA,POSTAL VOTES - KANDY DISTRICT,Sundaram Mahendran,2,0.01%
